starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	7	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	0	8	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	9	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	9	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	9	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	9	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	9	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	9	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	9	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	9	0
